license_plate,price,make,mileage,year,fuel_type,transmission,body_type,engine_size,car_tier,engine_tier,year_band
EY60JYZ,2995.0,FORD,99402.0,2010.0,Petrol,Manual,Hatchback,1.6,T3,1-2L,2010-2014
GM18OUL,10995.0,FORD,33155.0,2018.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2015-2019
GD16CEV,8995.0,FORD,54504.0,2016.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2015-2019
YS70HJX,15999.0,FORD,3707.0,2020.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,>2020
EK61HEJ,3795.0,FORD,97682.0,2011.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2010-2014
EN15DFV,9799.0,FORD,13324.0,2015.0,Petrol,Automatic,Hatchback,1.6,T3,1-2L,2015-2019
KN61FVJ,4700.0,FORD,61000.0,2011.0,Petrol,Automatic,Hatchback,1.6,T3,1-2L,2010-2014
ML10TKV,3495.0,FORD,56976.0,2010.0,Petrol,Manual,Mpv,1.6,T3,1-2L,2010-2014
PJ18GBZ,9999.0,CITROEN,17864.0,2018.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
GN63KXB,2795.0,CITROEN,75824.0,2013.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2010-2014
YP21WNM,23449.0,CITROEN,0.0,2021.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,>2020
EK66SOJ,5995.0,FIAT,53341.0,2016.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
YP21PCU,22990.0,CITROEN,0.0,2021.0,Diesel,Automatic,Hatchback,1.5,T3,1-2L,>2020
LP08MGV,3295.0,FIAT,39000.0,2008.0,Diesel,Manual,Hatchback,1.2,T3,1-2L,<2010
YS21BNJ,10489.0,CITROEN,0.0,2021.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,>2020
YP70DLX,14999.0,FORD,2623.0,2020.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,>2020
YE18VLM,6800.0,CITROEN,3950.0,2018.0,Petrol,Manual,Hatchback,1.0,T3,0-1L,2015-2019
FD15ULO,21495.0,BMW,31300.0,2015.0,Diesel,Automatic,Coupe,3.0,T1,2-3L,2015-2019
KM66TXC,12499.0,BMW,24902.0,2016.0,Petrol,Manual,Hatchback,1.5,T1,1-2L,2015-2019
LP18DLD,10490.0,VAUXHALL,29931.0,2018.0,Diesel,Manual,Suv,1.6,T3,1-2L,2015-2019
GY14YDZ,19495.0,BMW,52200.0,2014.0,Diesel,Automatic,Coupe,3.0,T1,2-3L,2010-2014
SD17GLJ,23995.0,AUDI,57000.0,2017.0,Diesel,Automatic,Estate,2.0,T1,1-2L,2015-2019
LA69XOX,17750.0,VAUXHALL,3709.0,2020.0,Petrol,Automatic,Suv,1.2,T3,1-2L,>2020
NL17VUS,7200.0,VAUXHALL,33067.0,2017.0,Petrol,Manual,Mpv,1.4,T3,1-2L,2015-2019
N99NCA,11490.0,AUDI,34000.0,2018.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,2015-2019
DV61EPK,10450.0,AUDI,55472.0,2011.0,Petrol,Manual,Convertible,1.8,T1,1-2L,2010-2014
SD13FHO,17450.0,BMW,74136.0,2013.0,Diesel,Automatic,Suv,3.0,T1,2-3L,2010-2014
LB65MWM,8913.0,VAUXHALL,53788.0,2016.0,Petrol,Manual,Hatchback,1.6,T3,1-2L,2015-2019
LF15CYV,9696.0,VAUXHALL,24030.0,2015.0,Petrol,Automatic,Hatchback,1.4,T3,1-2L,2015-2019
SH67ZFV,10999.0,VAUXHALL,35279.0,2017.0,Petrol,Automatic,Hatchback,1.4,T3,1-2L,2015-2019
MGZ5752,14689.0,VAUXHALL,16366.0,2019.0,Petrol,Automatic,Hatchback,1.4,T3,1-2L,2015-2019
BN20KUU,15765.0,VAUXHALL,4361.0,2020.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,>2020
CA19HDY,16500.0,RENAULT,18223.0,2019.0,Petrol,Manual,Mpv,1.3,T2,1-2L,2015-2019
EU18HAA,17995.0,SKODA,39465.0,2018.0,Diesel,Manual,Suv,2.0,T3,1-2L,2015-2019
WX18OAE,12000.0,SKODA,8655.0,2018.0,Petrol,Manual,Estate,1.0,T3,0-1L,2015-2019
BF19ERY,8459.0,PEUGEOT,4992.0,2019.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,2015-2019
DC18XCK,9491.0,SMART,12750.0,2018.0,Petrol,Automatic,Coupe,1.0,T3,0-1L,2015-2019
BT18OML,12200.0,PEUGEOT,0.0,2018.0,Petrol,Manual,Suv,1.2,T1,1-2L,2015-2019
LF69NYD,8990.0,PEUGEOT,7875.0,2019.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,2015-2019
PJ18UZH,14995.0,PEUGEOT,11497.0,2018.0,Petrol,Automatic,Suv,1.2,T1,1-2L,2015-2019
MF18YXL,6982.0,PEUGEOT,13878.0,2018.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,2015-2019
BU68WTC,8810.0,PEUGEOT,20950.0,2018.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
FP66CCO,9995.0,PEUGEOT,23608.0,2016.0,Diesel,Manual,Suv,1.6,T1,1-2L,2015-2019
GY67TXK,14491.0,RENAULT,46866.0,2018.0,Diesel,Manual,Suv,1.6,T2,1-2L,2015-2019
VA18ZBL,6690.0,PEUGEOT,16000.0,2018.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,2015-2019
BJ67HMG,10490.0,PEUGEOT,14586.0,2017.0,Petrol,Manual,Suv,1.2,T1,1-2L,2015-2019
EX20MMJ,15995.0,PEUGEOT,2490.0,2020.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,>2020
EF18XPG,10998.0,PEUGEOT,47736.0,2018.0,Petrol,Manual,Suv,1.2,T1,1-2L,2015-2019
LM20XBF,9995.0,PEUGEOT,1.0,2020.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,>2020
BD70LNC,22795.0,PEUGEOT,2115.0,2020.0,Petrol,Manual,Suv,1.2,T1,1-2L,>2020
LF18BLX,6790.0,PEUGEOT,16850.0,2018.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,2015-2019
SJ14VPF,4995.0,PEUGEOT,47015.0,2014.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2010-2014
GF21MWU,19250.0,PEUGEOT,3200.0,2021.0,Diesel,Manual,Hatchback,1.5,T1,1-2L,>2020
MF19KUP,10991.0,PEUGEOT,4701.0,2019.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
GF21MWV,20250.0,PEUGEOT,2650.0,2021.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,>2020
MJ68BKU,9995.0,PEUGEOT,11273.0,2018.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
BT68YPX,12999.0,PEUGEOT,12900.0,2018.0,Diesel,Manual,Hatchback,1.5,T1,1-2L,2015-2019
GJ21KNX,35300.0,PEUGEOT,2800.0,2021.0,Hybrid,Automatic,Suv,1.6,T1,1-2L,>2020
BT67PFZ,9500.0,PEUGEOT,20695.0,2017.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
LG62HKK,4495.0,PEUGEOT,39655.0,2012.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2010-2014
BC19XCN,24100.0,PEUGEOT,24560.0,2019.0,Diesel,Manual,Suv,1.5,T1,1-2L,2015-2019
BT18OOW,19999.0,PEUGEOT,13500.0,2018.0,Petrol,Automatic,Suv,1.6,T1,1-2L,2015-2019
YD18SOC,13495.0,PEUGEOT,17845.0,2018.0,Diesel,Manual,Mpv,1.6,T1,1-2L,2015-2019
T555TOE,33290.0,PEUGEOT,7863.0,2020.0,Hybrid,Automatic,Suv,1.6,T1,1-2L,>2020
MF19OZP,11991.0,PEUGEOT,10800.0,2019.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
LS18OZP,18552.0,PEUGEOT,29689.0,2018.0,Diesel,Manual,Suv,1.6,T1,1-2L,2015-2019
MA18EUB,15991.0,PEUGEOT,26358.0,2018.0,Petrol,Manual,Suv,1.2,T1,1-2L,2015-2019
SG17HHL,16200.0,PEUGEOT,53277.0,2017.0,Diesel,Automatic,Suv,1.6,T1,1-2L,2015-2019
OE18VHL,19000.0,PEUGEOT,37275.0,2018.0,Diesel,Automatic,Suv,1.5,T1,1-2L,2015-2019
FJ17VCK,8695.0,PEUGEOT,30902.0,2017.0,Petrol,Manual,Hatchback,1.2,T1,1-2L,2015-2019
CV64UZS,6795.0,PEUGEOT,27087.0,2014.0,Diesel,Manual,Hatchback,1.6,T1,1-2L,2010-2014
ML15OJA,9790.0,CITROEN,39000.0,2015.0,Diesel,Manual,Mpv,1.6,T3,1-2L,2015-2019
LJ68XXL,15692.0,NISSAN,21957.0,2018.0,Petrol,Manual,Suv,1.2,T3,1-2L,2015-2019
MM69JYP,15490.0,CITROEN,6881.0,2020.0,Petrol,Automatic,Hatchback,1.2,T3,1-2L,>2020
HK17XUB,8991.0,CITROEN,20283.0,2017.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
YS18ZNB,14388.0,NISSAN,23135.0,2018.0,Petrol,Automatic,Suv,1.6,T3,1-2L,2015-2019
LA70FXY,21495.0,CITROEN,1513.0,2021.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,>2020
VN63XMR,3990.0,PEUGEOT,39005.0,2013.0,Petrol,Manual,Hatchback,1.0,T1,0-1L,2010-2014
MD15CYK,12491.0,LEXUS,24000.0,2015.0,Hybrid,Automatic,Hatchback,1.8,T1,1-2L,2015-2019
MT20VRF,11491.0,CITROEN,4728.0,2020.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,>2020
KP67XLW,14690.0,CITROEN,30000.0,2017.0,Diesel,Automatic,Mpv,1.6,T3,1-2L,2015-2019
LG70RRZ,15495.0,CITROEN,4281.0,2020.0,Petrol,Automatic,Hatchback,1.2,T3,1-2L,>2020
MA20GPF,11491.0,CITROEN,6585.0,2020.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,>2020
MA20GPK,11491.0,CITROEN,5429.0,2020.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,>2020
MW17OYS,7990.0,CITROEN,17341.0,2017.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
LC18LPA,13395.0,CITROEN,3662.0,2018.0,Petrol,Automatic,Hatchback,1.2,T3,1-2L,2015-2019
LG19EYZ,10491.0,CITROEN,14740.0,2019.0,Petrol,Manual,Hatchback,1.2,T3,1-2L,2015-2019
KS70OKF,22695.0,CITROEN,7256.0,2020.0,Petrol,Automatic,Suv,1.2,T3,1-2L,>2020
LD20LYW,15995.0,CITROEN,2701.0,2020.0,Petrol,Automatic,Hatchback,1.2,T3,1-2L,>2020
